source_file,token_count,occurrence_count
A08014.txt,13407,2
A12203.txt,12229,2
A05598.txt,11189,2
B14268.txt,11050,2
A02702.txt,10649,2
A07361.txt,7920,2
A09205.txt,7810,2
A03032.txt,7086,2
A01932.txt,5566,2
A00183.txt,5491,2
A17595.txt,4767,2
A09666.txt,4279,2
A02724.txt,3172,2
A02725.txt,3167,2
A12698.txt,1919,2
A22364.txt,1518,2
A01622.txt,675247,1
A07225.txt,277974,1
A03886.txt,238101,1
A04774.txt,212348,1
A10010.txt,166230,1
A13042.txt,144779,1
A17337.txt,123506,1
A15991.txt,119621,1
A13529.txt,115588,1
A05289.txt,112757,1
A11863.txt,101438,1
A12317.txt,99217,1
A15803.txt,88809,1
A10024.txt,77137,1
A05223.txt,76782,1
A14653.txt,74973,1
A08531.txt,63740,1
A12609.txt,63035,1
A17418.txt,60912,1
A02087.txt,58735,1
A14114.txt,55157,1
A00529.txt,50197,1
A04250.txt,49886,1
A04286.txt,49462,1
A16269.txt,49166,1
A00188.txt,45380,1
A00977.txt,43358,1
A08541.txt,36826,1
A10199.txt,33675,1
A04824.txt,32107,1
A18109.txt,31603,1
A13732.txt,29346,1
A12469.txt,28767,1
A11416.txt,28169,1
A16864.txt,27010,1
A12649.txt,26752,1
A04645.txt,26319,1
A07524.txt,24074,1
A05280.txt,21045,1
A11994.txt,20849,1
A03418.txt,19683,1
A00503.txt,19633,1
A11072.txt,19201,1
A13705.txt,19048,1
A10226.txt,17729,1
A01404.txt,17421,1
A07492.txt,17147,1
A12830.txt,16922,1
A11511.txt,13856,1
A04843.txt,13123,1
A13745.txt,11377,1
A04127.txt,11222,1
A04219.txt,11191,1
A01428.txt,11095,1
A10057.txt,10274,1
A11806.txt,9662,1
A15850.txt,9248,1
A09626.txt,8578,1
A13417.txt,8494,1
A13447.txt,7267,1
A16807.txt,6466,1
A14514.txt,5486,1
A13306.txt,4901,1
A07788.txt,4589,1
A13110.txt,4226,1
A11831.txt,4105,1
A08169.txt,3761,1
A08164.txt,2996,1
A02255.txt,2903,1
A10814.txt,2656,1
A21208.txt,2259,1
A14958.txt,1857,1
A02623.txt,1226,1
A14520.txt,494,1
A22488.txt,282,1
A15599.txt,577857,0
A11516.txt,532425,0
A09010.txt,306312,0
A01364.txt,203290,0
A16539.txt,202936,0
A08545.txt,191707,0
A06433.txt,165084,0
A14688.txt,150549,0
A12166.txt,142117,0
A07770.txt,135926,0
A07600.txt,135289,0
A01975.txt,123800,0
A04345.txt,122113,0
A17018.txt,115369,0
A08311.txt,109587,0
A05303.txt,103763,0
A12523.txt,102279,0
A13834.txt,102100,0
A16918.txt,98662,0
A05370.txt,96048,0
A08804.txt,94980,0
A14408.txt,94777,0
A08550.txt,93258,0
A09277.txt,93151,0
A09169.txt,93105,0
A03411.txt,91889,0
A07826.txt,90063,0
A16701.txt,87892,0
A02361.txt,87742,0
A08327.txt,80550,0
A11627.txt,79748,0
A12475.txt,77990,0
A14909.txt,77687,0
A17587.txt,75132,0
A10215.txt,74845,0
A08047.txt,72896,0
A11368.txt,71424,0
A07967.txt,70830,0
A17887.txt,68279,0
